item_id,item_name_ko,display_category,weather_tags,dept_id,cat_id,mapping_note
FOODS_1_004,삼각김밥,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_012,도시락,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_018,샌드위치,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_019,햄버거,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_032,핫바,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_042,소시지,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_043,어묵바,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_046,즉석밥,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_055,컵라면,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_082,봉지라면,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_085,참치캔,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_086,카레,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_096,수프,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_099,시리얼,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_110,식빵,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_113,크림빵,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_161,초코빵,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_162,쿠키,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_170,초콜릿,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_173,젤리,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_184,견과류,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_204,요거트,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_1_218,치즈,간편식,비|한파,FOODS_1,FOODS,demo_display_name
FOODS_2_013,생수,음료,맑음|더움,FOODS_2,FOODS,demo_display_name
FOODS_2_016,탄산음료,음료,맑음|더움,FOODS_2,FOODS,demo_display_name
